customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,OnlineSecurity,OnlineBackup,Contract,PaymentMethod,MonthlyCharges,TotalCharges,Churn
CUST00074,Female,0,Yes,No,59,Yes,Fiber optic,No,Yes,One year,Bank transfer,80.82,4768.53,0
CUST00075,Male,1,Yes,Yes,64,Yes,DSL,Yes,No,One year,Credit card,45.23,2894.52,1
CUST00076,Male,1,No,Yes,27,Yes,Fiber optic,Yes,Yes,Month-to-month,Bank transfer,66.23,1788.09,0
CUST00077,Male,0,Yes,Yes,21,Yes,DSL,No,No,One year,Credit card,41.98,881.5,1
CUST00078,Female,1,No,Yes,16,Yes,Fiber optic,No,No,Two year,Credit card,55.96,895.41,1
CUST00079,Female,1,No,No,55,No,Fiber optic,Yes,No,Month-to-month,Credit card,82.51,4537.87,1
CUST00080,Female,0,Yes,Yes,68,Yes,Fiber optic,Yes,Yes,One year,Electronic check,99.85,6789.95,0
CUST00081,Female,1,Yes,No,18,Yes,DSL,No,Yes,Two year,Bank transfer,35.77,643.79,0
CUST00082,Female,0,Yes,No,33,No,DSL,No,No,Two year,Electronic check,66.31,2188.07,1
CUST00083,Female,1,No,No,43,Yes,None,No internet service,No internet service,Two year,Credit card,32.77,1408.9,1
CUST00084,Female,0,No,No,72,No,DSL,No,No,One year,Electronic check,53.99,3887.09,1
CUST00085,Male,1,Yes,No,5,No,DSL,No,Yes,One year,Mailed check,78.59,392.93,1
CUST00086,Male,0,Yes,Yes,47,No,Fiber optic,No,No,One year,Mailed check,92.12,4329.75,0
CUST00087,Female,0,No,Yes,31,No,Fiber optic,Yes,Yes,One year,Credit card,80.88,2507.42,1
CUST00088,Female,1,Yes,No,48,No,None,No internet service,No internet service,One year,Mailed check,22.41,1075.65,1
CUST00089,Female,1,Yes,No,62,No,Fiber optic,Yes,No,Two year,Bank transfer,52.15,3233.27,1
CUST00090,Male,0,No,Yes,57,Yes,Fiber optic,Yes,Yes,Month-to-month,Electronic check,115.26,6569.81,1
CUST00091,Male,0,Yes,No,23,No,Fiber optic,Yes,Yes,One year,Bank transfer,106.36,2446.22,1
CUST00092,Male,0,Yes,Yes,59,Yes,DSL,Yes,No,Two year,Electronic check,61.53,3630.5,0
CUST00093,Female,1,No,No,47,Yes,Fiber optic,No,Yes,Two year,Electronic check,81.37,3824.41,0
CUST00094,Male,0,No,No,22,Yes,None,No internet service,No internet service,One year,Mailed check,17.05,375.09,1
CUST00095,Male,0,Yes,No,15,No,DSL,No,Yes,Month-to-month,Bank transfer,38.53,578,1
CUST00096,Female,1,Yes,Yes,66,No,Fiber optic,No,Yes,Two year,Electronic check,51.93,3427.35,0
CUST00097,Female,1,Yes,No,8,No,DSL,Yes,Yes,Month-to-month,Mailed check,79.69,637.54,0
CUST00098,Female,0,Yes,No,1,Yes,DSL,No,No,One year,Mailed check,67.47,67.47,0
CUST00099,Male,1,No,Yes,72,Yes,Fiber optic,No,No,Two year,Electronic check,96.86,6974.26,0
CUST00100,Male,1,No,Yes,19,No,Fiber optic,No,No,One year,Bank transfer,108.87,2068.6,0
CUST00101,Male,0,No,No,11,Yes,None,No internet service,No internet service,One year,Mailed check,25.71,282.85,0
CUST00102,Female,1,No,No,72,No,DSL,Yes,Yes,Month-to-month,Mailed check,63.08,4541.68,0
CUST00103,Male,0,No,No,45,No,None,No internet service,No internet service,Two year,Mailed check,47.22,2124.68,1
CUST00104,Male,1,Yes,Yes,66,Yes,DSL,No,Yes,One year,Electronic check,54.97,3628.2,1
CUST00105,Female,0,No,Yes,0,No,None,No internet service,No internet service,Two year,Electronic check,26.78,0,1
CUST00106,Female,0,Yes,Yes,26,No,DSL,No,Yes,Month-to-month,Credit card,63.8,1658.93,0
CUST00107,Female,0,No,Yes,36,Yes,None,No internet service,No internet service,Two year,Electronic check,49.68,1788.51,1
CUST00108,Male,0,Yes,Yes,16,No,DSL,No,No,Month-to-month,Credit card,34.11,545.71,0
CUST00109,Female,1,No,Yes,12,No,None,No internet service,No internet service,Month-to-month,Electronic check,24.97,299.6,0
CUST00110,Male,1,Yes,No,8,No,None,No internet service,No internet service,One year,Electronic check,49.75,397.99,1
CUST00111,Male,0,Yes,Yes,22,No,Fiber optic,No,Yes,Month-to-month,Bank transfer,77.46,1704.07,1
CUST00112,Female,1,Yes,No,16,No,None,No internet service,No internet service,Month-to-month,Mailed check,23.44,375.01,0
CUST00113,Male,0,No,No,31,No,Fiber optic,Yes,Yes,One year,Credit card,90.2,2796.23,0
CUST00114,Female,0,No,No,65,No,Fiber optic,Yes,Yes,Month-to-month,Mailed check,86.44,5618.36,0
CUST00115,Female,0,No,Yes,36,Yes,None,No internet service,No internet service,Month-to-month,Bank transfer,36.6,1317.76,0
CUST00116,Male,1,Yes,No,32,Yes,None,No internet service,No internet service,Two year,Electronic check,22.16,709.06,1
CUST00117,Female,0,No,No,53,No,None,No internet service,No internet service,One year,Electronic check,32.97,1747.26,1
CUST00118,Female,0,No,Yes,40,Yes,DSL,No,Yes,One year,Credit card,72.07,2882.96,0
CUST00119,Male,1,Yes,No,18,Yes,Fiber optic,No,Yes,Month-to-month,Mailed check,97.29,1751.24,1
CUST00120,Female,1,No,No,56,No,Fiber optic,Yes,No,Two year,Bank transfer,58.18,3258.34,0
CUST00121,Female,0,No,Yes,11,Yes,Fiber optic,No,No,Month-to-month,Mailed check,67.17,738.86,0
CUST00122,Female,0,No,Yes,26,No,Fiber optic,No,Yes,Month-to-month,Credit card,102.16,2656.22,1
CUST00123,Female,0,Yes,Yes,40,No,DSL,Yes,No,Two year,Electronic check,52.81,2112.26,0
CUST00124,Female,1,No,No,23,No,DSL,Yes,No,Two year,Bank transfer,30.6,703.7,0
CUST00125,Male,0,Yes,No,63,No,DSL,No,Yes,One year,Bank transfer,63.2,3981.73,1
CUST00126,Male,0,No,No,54,No,DSL,Yes,Yes,Month-to-month,Credit card,76.69,4141.38,1
CUST00127,Male,0,Yes,Yes,9,No,DSL,No,Yes,One year,Electronic check,61.86,556.76,1
CUST00128,Female,0,No,No,45,Yes,DSL,Yes,Yes,One year,Electronic check,76.53,3443.84,1
CUST00129,Male,0,No,No,70,Yes,Fiber optic,No,Yes,Month-to-month,Credit card,51.12,3578.15,0
CUST00130,Female,1,No,No,6,Yes,DSL,No,Yes,Month-to-month,Mailed check,61.67,370.03,1
CUST00131,Male,1,No,Yes,42,Yes,None,No internet service,No internet service,One year,Mailed check,49.84,2093.45,1
CUST00132,Female,1,No,No,67,No,Fiber optic,Yes,Yes,One year,Mailed check,90.06,6033.91,0
CUST00133,Male,1,Yes,No,22,No,Fiber optic,No,Yes,One year,Bank transfer,119.37,2626.25,0
CUST00134,Female,0,No,Yes,10,Yes,DSL,Yes,No,Month-to-month,Bank transfer,59.41,594.13,1
CUST00135,Male,0,Yes,No,12,No,Fiber optic,Yes,Yes,One year,Bank transfer,87.04,1044.48,1
CUST00136,Male,1,Yes,No,52,Yes,None,No internet service,No internet service,One year,Bank transfer,34.3,1783.59,1
CUST00137,Female,1,Yes,Yes,6,No,DSL,No,No,Month-to-month,Electronic check,61.57,369.42,0
CUST00138,Male,1,Yes,Yes,64,Yes,DSL,Yes,No,Month-to-month,Credit card,44.49,2847.6,1
CUST00139,Male,1,No,No,59,No,None,No internet service,No internet service,One year,Bank transfer,29.01,1711.59,1
CUST00140,Female,0,No,No,37,Yes,DSL,Yes,No,Two year,Electronic check,67.74,2506.33,0
CUST00141,Male,1,Yes,Yes,39,Yes,None,No internet service,No internet service,Two year,Bank transfer,16.6,647.44,0
CUST00142,Female,0,Yes,No,42,No,None,No internet service,No internet service,One year,Bank transfer,19.85,833.65,1
CUST00143,Female,0,Yes,Yes,39,No,None,No internet service,No internet service,Two year,Electronic check,22.36,872.03,0
CUST00144,Male,0,Yes,Yes,62,No,None,No internet service,No internet service,One year,Mailed check,42.27,2620.72,0
CUST00145,Female,1,No,Yes,72,No,None,No internet service,No internet service,One year,Mailed check,48.91,3521.54,1
CUST00146,Female,0,No,No,38,No,None,No internet service,No internet service,Month-to-month,Electronic check,31.63,1201.78,1
CUST00147,Female,1,No,Yes,35,No,DSL,No,No,Month-to-month,Bank transfer,34.11,1193.92,1
CUST00148,Male,0,Yes,No,48,No,None,No internet service,No internet service,One year,Bank transfer,23.92,1148.21,0
CUST00149,Male,0,Yes,Yes,67,Yes,Fiber optic,No,Yes,Two year,Mailed check,57.67,3863.64,1
CUST00150,Male,0,No,Yes,41,Yes,Fiber optic,Yes,No,Month-to-month,Electronic check,60.54,2482.2,1
CUST00151,Male,0,No,No,11,No,Fiber optic,No,No,Two year,Credit card,104.44,1148.86,1
CUST00152,Male,0,No,Yes,30,Yes,Fiber optic,No,Yes,Month-to-month,Credit card,114.6,3437.94,1
CUST00153,Male,0,No,No,23,Yes,DSL,No,Yes,Two year,Credit card,78.7,1810.16,1
CUST00154,Male,0,Yes,Yes,8,No,DSL,Yes,No,One year,Mailed check,62.35,498.84,0
CUST00155,Male,0,Yes,No,11,No,Fiber optic,Yes,Yes,One year,Mailed check,88.99,978.84,0
CUST00156,Female,0,Yes,No,0,No,None,No internet service,No internet service,One year,Electronic check,20.98,0,1
CUST00157,Female,1,Yes,Yes,23,No,None,No internet service,No internet service,Two year,Bank transfer,43.73,1005.74,0
CUST00158,Female,0,No,Yes,18,Yes,DSL,No,Yes,One year,Mailed check,72.59,1306.68,1
CUST00159,Male,0,No,Yes,36,No,None,No internet service,No internet service,Month-to-month,Bank transfer,46.25,1665.15,1
CUST00160,Male,0,No,Yes,60,No,Fiber optic,No,Yes,Two year,Bank transfer,75.13,4507.79,1
CUST00161,Female,0,Yes,Yes,70,Yes,None,No internet service,No internet service,Month-to-month,Bank transfer,19.92,1394.52,0
CUST00162,Male,0,No,Yes,56,Yes,DSL,Yes,Yes,Month-to-month,Mailed check,41.04,2298.15,1
CUST00163,Male,1,Yes,No,60,No,Fiber optic,Yes,Yes,Two year,Bank transfer,85.29,5117.29,0
CUST00164,Female,1,Yes,Yes,19,Yes,DSL,No,Yes,One year,Electronic check,40.96,778.17,1
CUST00165,Female,1,No,Yes,61,Yes,DSL,Yes,No,One year,Electronic check,57.3,3495.46,0
CUST00166,Female,1,No,No,53,Yes,None,No internet service,No internet service,Month-to-month,Mailed check,39.14,2074.54,1
CUST00167,Male,0,No,Yes,16,Yes,Fiber optic,Yes,No,Two year,Mailed check,54.72,875.5,0
CUST00168,Male,0,Yes,Yes,24,Yes,DSL,Yes,No,Month-to-month,Bank transfer,74.06,1777.37,0
CUST00169,Female,0,No,Yes,61,No,DSL,Yes,No,One year,Electronic check,70.74,4315.33,0
CUST00170,Female,1,Yes,No,69,No,Fiber optic,No,Yes,Two year,Credit card,82.08,5663.2,1
CUST00171,Female,1,No,Yes,20,No,None,No internet service,No internet service,Two year,Credit card,33.99,679.74,0
CUST00172,Female,1,No,No,42,No,None,No internet service,No internet service,Month-to-month,Mailed check,49.53,2080.22,1
CUST00173,Male,0,No,Yes,48,No,Fiber optic,Yes,Yes,Two year,Mailed check,117.37,5633.75,0
CUST00174,Male,1,No,No,54,Yes,None,No internet service,No internet service,Two year,Credit card,38.91,2101.37,1
CUST00175,Male,1,Yes,Yes,28,Yes,Fiber optic,No,No,Two year,Electronic check,57.04,1597.21,0
CUST00176,Female,1,Yes,Yes,10,Yes,DSL,Yes,Yes,Month-to-month,Mailed check,70.71,707.08,0
CUST00177,Male,1,No,Yes,15,Yes,DSL,Yes,Yes,Month-to-month,Bank transfer,60.48,907.17,1
CUST00178,Male,1,No,Yes,61,Yes,DSL,Yes,Yes,Two year,Credit card,66.16,4035.78,0
CUST00179,Female,0,No,No,21,Yes,None,No internet service,No internet service,One year,Bank transfer,36.71,771.01,1
CUST00180,Female,1,No,Yes,25,No,Fiber optic,No,No,One year,Credit card,110.2,2754.93,0
CUST00181,Female,1,Yes,No,10,Yes,None,No internet service,No internet service,Two year,Mailed check,42.05,420.48,0
CUST00182,Male,0,No,No,61,Yes,DSL,Yes,Yes,Two year,Mailed check,61.93,3777.63,1
CUST00183,Male,0,No,Yes,66,No,None,No internet service,No internet service,Month-to-month,Electronic check,20.35,1342.93,1
CUST00184,Female,1,No,No,18,No,None,No internet service,No internet service,Two year,Mailed check,40.41,727.38,1
CUST00185,Male,0,No,Yes,18,Yes,None,No internet service,No internet service,One year,Electronic check,36.33,654,1
CUST00186,Male,1,No,Yes,52,Yes,None,No internet service,No internet service,Month-to-month,Mailed check,38.95,2025.15,0
CUST00187,Female,1,No,Yes,55,Yes,None,No internet service,No internet service,One year,Bank transfer,18.28,1005.13,1
CUST00188,Female,1,Yes,No,5,Yes,None,No internet service,No internet service,One year,Credit card,39.04,195.22,0
CUST00189,Female,1,Yes,Yes,72,No,DSL,No,No,Two year,Mailed check,60.69,4369.55,1
CUST00190,Female,0,No,Yes,63,No,None,No internet service,No internet service,Month-to-month,Credit card,36.76,2315.73,0
CUST00191,Male,1,Yes,Yes,16,Yes,Fiber optic,Yes,No,Two year,Electronic check,80.77,1292.3,0
CUST00192,Female,1,Yes,Yes,38,No,Fiber optic,Yes,Yes,Month-to-month,Bank transfer,71.67,2723.57,0
CUST00193,Male,0,Yes,Yes,24,Yes,DSL,Yes,No,One year,Electronic check,43.07,1033.61,1
CUST00194,Male,1,Yes,No,29,No,None,No internet service,No internet service,Two year,Electronic check,47.58,1379.75,0
CUST00195,Male,1,No,No,2,Yes,DSL,Yes,No,One year,Bank transfer,60.44,120.87,0
CUST00196,Male,0,Yes,Yes,18,No,Fiber optic,No,Yes,Two year,Bank transfer,84.11,1513.97,0
CUST00197,Male,1,Yes,Yes,55,Yes,Fiber optic,No,Yes,Two year,Mailed check,102.79,5653.34,0
CUST00198,Female,0,Yes,No,15,No,Fiber optic,No,No,Month-to-month,Bank transfer,88.21,1323.16,0
CUST00199,Male,0,No,Yes,24,No,Fiber optic,No,Yes,Month-to-month,Electronic check,53.15,1275.52,0
CUST00200,Female,1,Yes,No,60,Yes,DSL,No,Yes,One year,Mailed check,65.62,3937.02,0
CUST00201,Male,0,No,No,2,Yes,Fiber optic,Yes,Yes,Month-to-month,Mailed check,68.15,136.29,1
CUST00202,Male,1,Yes,Yes,22,No,Fiber optic,Yes,No,One year,Mailed check,82.55,1816.05,1
CUST00203,Female,1,No,No,32,No,DSL,No,Yes,Month-to-month,Bank transfer,47.74,1527.68,1
CUST00204,Male,0,No,Yes,39,No,Fiber optic,Yes,Yes,Month-to-month,Mailed check,67.68,2639.54,0
CUST00205,Male,1,No,Yes,16,No,Fiber optic,Yes,Yes,One year,Bank transfer,57.47,919.57,1
CUST00206,Male,1,No,No,67,No,DSL,No,Yes,Month-to-month,Bank transfer,37.65,2522.8,0
CUST00207,Female,1,Yes,Yes,62,Yes,DSL,Yes,No,One year,Bank transfer,45.8,2839.3,0
CUST00208,Female,0,Yes,Yes,6,Yes,Fiber optic,No,Yes,One year,Electronic check,65.17,391.02,0
CUST00209,Male,1,No,Yes,64,Yes,DSL,No,Yes,Two year,Credit card,50.03,3202.17,0
CUST00210,Male,1,Yes,Yes,37,Yes,None,No internet service,No internet service,Two year,Bank transfer,48.83,1806.57,1
CUST00211,Male,0,Yes,No,7,Yes,None,No internet service,No internet service,Month-to-month,Electronic check,41.75,292.27,0
CUST00212,Male,0,Yes,No,6,Yes,Fiber optic,No,Yes,One year,Electronic check,102.79,616.71,1
CUST00213,Male,0,No,No,45,Yes,DSL,Yes,Yes,One year,Mailed check,44.08,1983.71,1
CUST00214,Female,0,No,Yes,7,No,DSL,No,Yes,Month-to-month,Electronic check,75.97,531.78,1
CUST00215,Female,1,Yes,No,24,No,None,No internet service,No internet service,One year,Electronic check,23.36,560.53,1
CUST00216,Female,0,No,Yes,22,Yes,Fiber optic,Yes,No,Two year,Mailed check,53.87,1185.15,0
CUST00217,Male,0,No,No,3,Yes,None,No internet service,No internet service,Month-to-month,Bank transfer,43.56,130.67,1
CUST00218,Male,0,Yes,Yes,23,Yes,Fiber optic,No,No,One year,Mailed check,73.88,1699.2,1
CUST00219,Male,1,Yes,No,7,Yes,Fiber optic,No,No,Month-to-month,Electronic check,93.21,652.5,1
CUST00220,Female,1,No,No,11,Yes,DSL,No,Yes,Month-to-month,Credit card,34.42,378.64,1
CUST00221,Female,1,No,Yes,58,No,DSL,Yes,Yes,Two year,Credit card,75.59,4384.4,1
CUST00222,Female,0,No,No,40,Yes,Fiber optic,No,Yes,One year,Bank transfer,96.03,3841.1,0
CUST00223,Male,0,No,No,46,Yes,DSL,Yes,No,Two year,Bank transfer,75.98,3495.12,1
CUST00224,Male,1,No,No,13,Yes,Fiber optic,Yes,Yes,One year,Credit card,83.44,1084.72,1
CUST00225,Female,1,Yes,No,15,Yes,None,No internet service,No internet service,Month-to-month,Electronic check,39.28,589.17,1
CUST00226,Male,0,Yes,No,6,No,Fiber optic,Yes,No,One year,Bank transfer,99.8,598.82,0
CUST00227,Male,1,No,No,64,No,DSL,No,Yes,Month-to-month,Mailed check,63.56,4067.76,0
CUST00228,Male,1,No,No,31,No,Fiber optic,Yes,No,Month-to-month,Mailed check,97.11,3010.46,0
CUST00229,Male,0,No,Yes,67,No,Fiber optic,Yes,No,Two year,Electronic check,99.88,6692.16,0
CUST00230,Female,1,No,Yes,42,No,DSL,No,Yes,Month-to-month,Bank transfer,67.61,2839.8,1
CUST00231,Female,0,Yes,Yes,71,Yes,None,No internet service,No internet service,Two year,Electronic check,39.78,2824.62,1
CUST00232,Male,1,Yes,No,42,No,Fiber optic,Yes,Yes,One year,Credit card,107.72,4524.14,0
CUST00233,Female,1,No,Yes,47,Yes,None,No internet service,No internet service,Two year,Bank transfer,22.61,1062.81,0
CUST00234,Female,0,No,No,56,Yes,Fiber optic,No,No,One year,Electronic check,62.23,3485.02,0
CUST00235,Male,0,Yes,Yes,39,No,None,No internet service,No internet service,Month-to-month,Bank transfer,23.45,914.54,1
CUST00236,Male,0,Yes,No,10,Yes,DSL,No,No,Month-to-month,Credit card,57.52,575.2,1
CUST00237,Male,0,Yes,Yes,26,Yes,Fiber optic,Yes,No,Month-to-month,Mailed check,51.83,1347.53,1
CUST00238,Male,0,No,No,53,No,DSL,No,Yes,Two year,Credit card,79.45,4211.09,1
CUST00239,Female,1,No,Yes,23,Yes,None,No internet service,No internet service,Two year,Bank transfer,42.33,973.66,0
CUST00240,Male,0,No,No,13,No,None,No internet service,No internet service,One year,Electronic check,15.14,196.79,1
CUST00241,Male,0,Yes,No,17,Yes,None,No internet service,No internet service,One year,Mailed check,49.27,837.66,1
CUST00242,Male,0,Yes,No,41,Yes,None,No internet service,No internet service,One year,Bank transfer,21.59,885.03,0
CUST00243,Male,1,Yes,No,8,No,DSL,Yes,Yes,Two year,Electronic check,69.66,557.31,0
CUST00244,Male,1,Yes,No,31,No,None,No internet service,No internet service,One year,Mailed check,41.54,1287.82,0
CUST00245,Male,0,Yes,Yes,3,No,Fiber optic,Yes,No,Two year,Mailed check,82.67,248,1
CUST00246,Female,1,Yes,Yes,1,No,DSL,No,No,Two year,Mailed check,77.75,77.75,1
CUST00247,Female,1,Yes,Yes,16,No,DSL,Yes,No,One year,Electronic check,52.43,838.95,1
CUST00248,Male,0,No,Yes,9,No,None,No internet service,No internet service,One year,Credit card,20.04,180.4,1
CUST00249,Male,1,No,Yes,57,Yes,None,No internet service,No internet service,Month-to-month,Electronic check,47.48,2706.4,1
CUST00250,Male,1,Yes,Yes,66,No,DSL,No,No,Month-to-month,Bank transfer,34.51,2277.71,1
CUST00251,Female,0,No,No,2,No,None,No internet service,No internet service,Month-to-month,Electronic check,23.79,47.59,1
CUST00252,Male,1,Yes,Yes,67,Yes,DSL,No,Yes,One year,Credit card,53.1,3557.74,1
